ADDRESS_LA,X,Y
3600 CLEVELAND AVE,3672268.787,536824.941
4306 S CARROLLTON AVE,3669927.989,536827.7194
128 S CORTEZ ST,3671918.515,537298.4477
505 S PIERCE ST,3670392.887,536761.6115
424 S GENOIS ST,3671703.091,535955.1408
501 S GENOIS ST,3671541.592,535938.2113
516 S TELEMACHUS ST,3671324.363,535936.3367
421 S CLARK ST,3671970.436,535892.6635
3819 ULLOA ST,3670563.358,535890.015
130 S LOPEZ ST,3673744.212,535925.6469
3301 PALMYRA ST,3673117.022,535910.1557
604 S CORTEZ ST,3670890.297,535929.7234
533 S TELEMACHUS ST,3671127.887,535915.6248
505 S GENOIS ST,3671518.802,535905.6162
425 S CLARK ST,3671951.049,535865.1705
602 S PIERCE ST,3670315.332,536394.0462
3822 BAUDIN ST,3670880.032,536381.7107
443 S CORTEZ ST,3671062.637,536391.5958
430 S CORTEZ ST,3671217.777,536384.7188
3609 BANKS ST,3671831.984,536367.943
3510 PALMYRA ST,3672242.457,536371.666
418 S SALCEDO ST,3673304.378,534898.7568
3105 BAUDIN ST,3673094.012,534899.8604
2729 PALMYRA ST,3674691.367,534694.3325
416 S GAYOSO ST,3673541.039,534716.3031
3005 BAUDIN ST,3673358.548,534694.6713
3030 BAUDIN ST,3673124.962,534695.0757
612 S PIERCE ST,3670259.772,536317.9612
631 S PIERCE ST,3670050.402,536315.7663
505 S CORTEZ ST,3671008.807,536314.0061
3317 CLEVELAND AVE,3673246.697,536290.5609
3120 CANAL ST,3673834.617,536111.5845
608 S SCOTT ST,3670586.724,536120.9504
3304 CLEVELAND AVE,3673218.357,536105.0462
3621 BAUDIN ST,3671514.862,536098.9356
537 S CORTEZ ST,3670854.102,536113.2011
505 S TELEMACHUS ST,3671283.55,536100.17
3524 BANKS ST,3671907.172,536112.0237
648 S PIERCE ST,3670025.362,536072.7054
610 S SCOTT ST,3670568.524,536098.3201
3300 CLEVELAND AVE,3673247.282,536083.131
417 S GENOIS ST,3671643.111,536072.6808
332 S CLARK ST,3672281.377,536083.4259
3615 BAUDIN ST,3671544.371,536077.5799
3114 CANAL ST,3673887.973,536102.2259
